3397946800,-1,612.0,-49.0,90.0,75.0052,73.0,94.0,107.0
3397946800,-2,435.0,261.0,159.0,141.016,109.0,200.0,120.0
3397946825,-1,614.0,-48.0,90.0,74.4996,74.0,94.0,109.0
3397946825,-2,436.0,257.0,159.0,141.137,108.0,200.0,120.0
3397946825,-3,995.0,-217.0,157.0,160.193,172.0,160.0,73.0
3397946853,-2,436.0,257.0,159.0,141.176,109.0,200.0,120.0
3397946853,-3,996.0,-217.0,146.0,159.883,172.0,160.0,73.0
3397947027,-2,353.0,193.0,154.0,142.164,111.0,203.0,121.0
3397947027,-5,1119.0,-116.0,128.0,138.986,117.0,189.0,85.0
3397947027,-6,559.0,-352.0,213.0,186.297,37.0,184.0,120.0
3397947027,-7,914.0,385.0,97.0,277.712,67.0,89.0,120.0
3397947141,-2,349.0,191.0,157.0,145.023,111.0,203.0,120.0
3397947141,-6,559.0,-346.0,212.0,191.705,37.0,184.0,120.0
3397947141,-7,914.0,385.0,97.0,277.909,67.0,88.0,120.0
3397947176,-2,350.0,191.0,158.0,144.876,111.0,203.0,121.0
3397947176,-6,561.0,-346.0,220.0,192.038,37.0,183.0,121.0
3397947176,-7,917.0,385.0,97.0,278.64,65.0,89.0,120.0
3397947176,-9,1277.0,-122.0,274.0,330.384,76.0,102.0,164.0
3397947249,-6,560.0,-346.0,220.0,191.65,36.0,184.0,120.0
3397947249,-7,913.0,384.0,97.0,277.735,66.0,88.0,120.0
3397947249,-9,1239.0,-118.0,267.0,319.319,77.0,103.0,163.0
3397947282,-6,559.0,-346.0,219.0,191.739,37.0,184.0,120.0
3397947282,-9,1239.0,-118.0,267.0,330.663,77.0,103.0,164.0
3397947314,-6,677.0,-297.0,204.0,191.309,37.0,184.0,120.0
3397947314,-9,1239.0,-118.0,267.0,319.274,77.0,103.0,165.0
3397947314,-10,624.0,231.0,148.0,314.461,69.0,92.0,173.0
3397947345,-6,689.0,-298.0,206.0,187.546,37.0,184.0,120.0
3397947345,-9,1272.0,-117.0,273.0,328.847,78.0,102.0,164.0
3397947377,-6,687.0,-297.0,213.0,186.32,37.0,185.0,120.0
3397947377,-9,1231.0,-112.0,265.0,328.012,77.0,103.0,165.0
